"A charge flow will be used to process the payment.","Ein Charge Flow wird zur Abwicklung der Zahlung verwendet."
"A manual decision about whether to accept the payment is required.","Eine Entscheidung wird benötigt, ob die Zahlung akzeptiert werden soll."
"Action","Aktion"
"Active","Aktiv"
"Adjustment","Korrektur"
"Allow customer's to download invoice documents.","Erlauben Sie Kunden, Rechnunungsdokumente herunterzuladen."
"Allow customer's to download packing slips.","Erlauben Sie Kunden, Lieferscheine herunterzuladen."
"Application User Details","Applikationsbenutzer-Details"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","Solange es eine offene Rechnungskorrektur für den Auftrag gibt, kann keine neue erstellt werden."
"Authentication Key","Authentication Key"
"Authorization Amount","Autorisierungsbetrag"
"Authorized","Autorisiert"
"Completed","Abgeschlossen"
"Confirmed","Bestätigt"
"Credit memo has been created automatically","Gutschrift wurde automatisch erstellt"
"Custom Shipping Description","Eigene Versandbeschreibung"
"Customer Download: Invoice","Kunden-Download: Rechnung"
"Customer Download: Packing Slip","Kunden-Download: Lieferschein"
"Customer","Kunde"
"Decline","Ablehnen"
"Delete","Löschen"
"Description","Beschreibung"
"Discount","Rabatt"
"Display","Anzeige"
"Document","Dokument"
"Download Invoice","Rechnung herunterladen"
"Download Packing Slip","Lieferschein herunterladen"
"Download Refund","Rückerstattung herunterladen"
"Email","E-Mail"
"Enabled","Aktiviert"
"Enforce Consistency","Konsistenz sicherstellen"
"Failed","Fehlgeschlagen"
"Failure Reason","Fehlerursache"
"Fulfill","Liefern"
"General","Allgemein"
"Giftcard (%s)","Geschenkkarte (%s)"
"Giftcard","Geschenkkarte"
"Hold Delivery","Lieferung halten"
