"A charge flow will be used to process the payment.","A charge flow will be used to process the payment."
"A manual decision about whether to accept the payment is required.","A manual decision about whether to accept the payment is required."
"Action","Action"
"Active","Active"
"Adjustment","Adjustment"
"Allow customer's to download invoice documents.","Allow customer's to download invoice documents."
"Allow customer's to download packing slips.","Allow customer's to download packing slips."
"Application User Details","Application User Details"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","As long as there is an open creditmemo for the order, no new creditmemo can be created."
"Authentication Key","Authentication Key"
"Authorization Amount","Authorization Amount"
"Authorized","Authorized"
"Completed","Completed"
"Confirmed","Confirmed"
"Credit memo has been created automatically","Credit memo has been created automatically"
"Custom Shipping Description","Custom Shipping Description"
"Customer Download: Invoice","Customer Download: Invoice"
"Customer Download: Packing Slip","Customer Download: Packing Slip"
"Customer","Customer"
"Decline","Decline"
"Delete","Delete"
"Description","Description"
"Discount","Discount"
"Display","Display"
"Document","Document"
"Download Invoice","Download Invoice"
"Download Packing Slip","Download Packing Slip"
"Download Refund","Download Refund"
"Email","Email"
"Enabled","Enabled"
"Enforce Consistency","Enforce Consistency"
"Failed","Failed"
"Failure Reason","Failure Reason"
"Fulfill","Fulfill"
"General","General"
"Giftcard (%s)","Giftcard (%s)"
"Giftcard","Giftcard"
"Hold Delivery","Hold Delivery"
"If you need help setting up the Trust Payments extension, check out the <a href=""https://plugin-documentation.ep.trustpayments.com/TrustPayments/magento-1/1.1.4/docs/en/documentation.html"" target=""_blank"">documentation</a>.","If you need help setting up the Trust Payments extension, check out the <a href=""https://plugin-documentation.ep.trustpayments.com/TrustPayments/magento-1/1.1.4/docs/en/documentation.html"" target=""_blank"">documentation</a>."
"Inactive","Inactive"
"Information","Information"
"Line Items","Line Items"
"Manage Trust Payments Tokens","Manage Trust Payments Tokens"
"Module Version","Module Version"
"Name","Name"
"No","No"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","Only one invoice is allowed. To change the invoice, cancel the existing one first."
"Overwrite Shipping Description","Overwrite Shipping Description"
"Payment Method","Payment Method"
"Pending","Pending"
"Processing","Processing"
"Registered notification about refunded amount of %s.","Registered notification about refunded amount of %s."
"Require that the line items of the transaction correspond to those of the purchase order in Magento. This may result in the Trust Payments payment methods not being available to the customer in certain cases. In return, it is ensured that only correct data is transmitted to Trust Payments.","Require that the line items of the transaction correspond to those of the purchase order in Magento. This may result in the Trust Payments payment methods not being available to the customer in certain cases. In return, it is ensured that only correct data is transmitted to Trust Payments."
"Send Order Email","Send Order Email"
"Send Refund Request","Send Refund Request"
"Send the Magento store's order email.","Send the Magento store's order email."
"Show Description","Show Description"
